bin distribution pmf
-0.11860007656485373 0.12794626419768484 2.0561449141633967
-0.11619860867352286 0.15450114921984492 1.8675537443558528
-0.113797140782192 0.17622787332888565 1.7359773865671333
-0.11139567289086112 0.22330244223180842 1.4992281831971392
-0.10899420499953026 0.22933764337320867 1.4725599361149777
-0.10659273710819939 0.24140804565600774 1.4212666417274329
-0.10419126921686853 0.3198656604942102 1.1398541822892476
-0.10178980132553765 0.3802176719082143 0.967011369449831
-0.09938833343420679 0.42367112012629604 0.858797784809598
-0.09698686554287592 0.5045428154210562 0.6841025757507133
-0.09458539765154506 0.6312820393904601 0.4600025442105469
-0.09218392976021418 0.6288679589339038 0.46383396652209696
-0.08978246186888332 0.8050958322627904 0.21679396235984028
-0.08738099397755245 0.8557915218505474 0.15572848174334217
-0.08497952608622159 1.0078785906138323 -0.00784771657538587
-0.08257805819489071 1.1334107743549628 -0.12523147093279902
-0.08017659030355985 1.2517007167264071 -0.2245031999540633
-0.07777512241222898 1.4170652280007654 -0.3485879921125721
-0.07537365452089811 1.5281129290025288 -0.42403359442865174
-0.07297218662956724 1.7803843367130674 -0.5768292604984564
-0.07057071873823638 1.8347011469856693 -0.6068816055648582
-0.0681692508469055 2.0724880719568266 -0.728749852622006
-0.06576778295557464 2.468397266832679 -0.9035690602014325
-0.06336631506424377 2.5878942494324177 -0.9508445139152287
-0.06096484717291291 2.9319007144922224 -1.0756509207267058
-0.058563379281582034 3.0888159441686276 -1.1277878278843219
-0.05616191139025117 3.496795541327272 -1.2518469894938806
-0.0537604434989203 3.8963258568879873 -1.3600340211143755
-0.05135897560758944 4.112386057750116 -1.4140034093855027
-0.04895750771625857 4.574682465181346 -1.5205372898010023
-0.046556039824927696 4.823332752207034 -1.5734651314929744
-0.04415457193359683 5.125092809277073 -1.6341486339877374
-0.04175310404226597 5.397883900868364 -1.6860070065594712
-0.0393516361509351 6.027958900030513 -1.796408462564249
-0.036950168259604226 6.417832893764965 -1.8590805052288688
-0.03454870036827336 6.804085766814618 -1.9175232798061113
-0.0321472324769425 7.156541513472391 -1.9680268354319037
-0.02974576458561163 7.676775851861045 -2.038199648058698
-0.027344296694280755 8.021989357149137 -2.0821864406390698
-0.024942828802949887 8.467387201384518 -2.1362219842610974
-0.022541360911619027 8.775182459595932 -2.171927562252101
-0.02013989302028816 9.321971683006739 -2.2323741602937943
-0.017738425128957284 9.437847544921622 -2.2447279398490445
-0.015336957237626417 9.900143952352934 -2.2925492976765405
-0.012935489346295556 9.737193521535128 -2.2759529366615103
-0.010534021454964689 10.188626566911806 -2.32127205570825
-0.008132553563633814 10.59298504338562 -2.3601919936795963
-0.005731085672302946 10.471073980329395 -2.3486165965395958
-0.0033296177809720856 10.81145932470437 -2.3806066201997313
-0.000928149889641218 10.6243680893209 -2.363150239095567
0.0014733180016896566 10.672649698452101 -2.3676843661107188
0.0038747858930205242 10.579707600874599 -2.358937789079871
0.006276253784351385 10.623161049092682 -2.3630366220983476
0.00867772167568226 10.247771538097469 -2.3270602710299175
0.011079189567013134 10.106547831388822 -2.313183513928968
0.013480657458343995 9.933941078744775 -2.2959572853956516
0.015882125349674855 9.489750274737718 -2.2502122977063417
0.018283593241005716 9.069700275296261 -2.2049392178584504
0.02068506113233659 8.881401999684472 -2.183959427389244
0.023086529023667465 8.71362340795365 -2.164887709863697
0.025487996914998326 8.18614682819527 -2.1024433144101202
0.0278894648063292 7.741956024188123 -2.046654371977625
0.030290932697660075 7.486063495792843 -2.0130430913849304
0.032692400588990936 7.12877958822195 -1.9641400540284042
0.035093868480321797 6.472149704037605 -1.8675083105204409
0.03749533637165266 5.971228009301385 -1.7869526029522447
0.03989680426298353 5.635670825839468 -1.7291161866954616
0.042298272154314406 5.354430452650282 -1.6779243401947939
0.04469974004564527 4.956107177317867 -1.6006205893034149
0.04710120793697614 4.492603729658278 -1.5024324289267206
0.049502675828307016 4.179980310533798 -1.430306536126958
0.05190414371963788 3.9059821787142273 -1.3625092699029182
0.05430561161096874 3.6271558859815367 -1.288448838693844
0.0567070795022996 3.349536633477127 -1.208822017905071
0.05910854739363047 3.05743289823332 -1.1175756417261997
0.06151001528496135 2.8486149387409077 -1.0468328897441919
0.06391148317629221 2.5866872092041375 -0.9503779871981131
0.06631295106762308 2.2294033016332184 -0.8017339719237645
0.06871441895895396 2.1678442499909623 -0.7737332405866811
0.07111588685028482 1.8890179572582713 -0.6360570946987896
0.07351735474161568 1.7815913769413472 -0.5775069968849538
0.07591882263294654 1.5582889347095388 -0.4435883825711785
0.07832029052427741 1.184106463942711 -0.16898845128988757
0.08072175841560829 1.2348021535304865 -0.21091075767616244
0.08312322630693915 1.1249614927570024 -0.1177488064101272
0.08552469419827002 0.9378702573735846 0.06414365790782797
0.0879261620896009 0.8328577575132314 0.1828924106841589
0.09032762998093176 0.7387086197073879 0.30285172576313785
0.09272909787226262 0.7242241369680273 0.32265435305931756
0.09513056576359348 0.5986919532269026 0.5130080815505365
0.09753203365492435 0.4635034476595321 0.7689414556877487
0.09993350154625523 0.4731597694857778 0.7483221684850015
0.10233496943758609 0.500921694736219 0.6913054880447655
0.10473643732891696 0.4490189649201718 0.8006901540023289
0.10713790522024784 0.3802176719082143 0.967011369449831
0.1095393731115787 0.30417413752657146 1.1901549207640407
0.11194084100290956 0.24261508588428915 1.4162791002163881
0.11434230889424042 0.22450948246008848 1.4938373345622626
0.1167437767855713 0.21243908017728555 1.5491000132373238
0.11914524467690217 0.1955405169813674 1.6319876730430798
